Cluster-1	total=29	enrichmentScore=3.0701007774592215	phaseStdDev=2.005629377762261	"Mitochondrion,Transit peptide,MitochondrionAnnotation Cluster 1"	Enrichment Score: 3.0701007774592215								
FBtr0083781	Nup58-RA	0.704603	0.047552	12.6	FlyBase Nup58-RA	Figure for Nup58-RA							
FBtr0299697	Mlp60A-RB	0.974901	0.026614	22.9	FlyBase Mlp60A-RB	Figure for Mlp60A-RB							
FBtr0089125	Hcf-RB	0.378055	0.050058	8.5	FlyBase Hcf-RB	Figure for Hcf-RB							
FBtr0346579	vri-RF	0.884927	0.03782	11.8	FlyBase vri-RF	Figure for vri-RF							
FBtr0075566	AIMP2-RB	2.185726	0.014377	0.5	FlyBase AIMP2-RB	Figure for AIMP2-RB							
FBtr0083292	CSN5-RA	0.322227	0.011589	19.4	FlyBase CSN5-RA	Figure for CSN5-RA							
FBtr0072235	eIF6-RA	1.64543	0	22.5	FlyBase eIF6-RA	Figure for eIF6-RA							
FBtr0303873	tai-RF	0.356788	0.052189	11.7	FlyBase tai-RF	Figure for tai-RF							
FBtr0088205	CG12391-RA	1.582359	0.017597	22.5	FlyBase CG12391-RA	Figure for CG12391-RA							
FBtr0112879	CrebB-RJ	2.323995	0	3.5	FlyBase CrebB-RJ	Figure for CrebB-RJ							
FBtr0110942	CG16863-RB	1.044268	0.037522	21.6	FlyBase CG16863-RB	Figure for CG16863-RB							
FBtr0088576	Su(var)2-10-RE	0.834168	0.043544	6	FlyBase Su(var)2-10-RE	Figure for Su(var)2-10-RE							
FBtr0081501	E2f2-RA	3.149928	0	22.2	FlyBase E2f2-RA	Figure for E2f2-RA							
FBtr0085360	CG11837-RA	1.721374	0.025327	0.1	FlyBase CG11837-RA	Figure for CG11837-RA							
													
Cluster-42	total=10	enrichmentScore=0.33601167926079667	phaseStdDev=5.792441122207734	"cellular response to DNA damage stimulus,Proteasome,ProteasomeAnnotation Cluster 42"	Enrichment Score: 0.33601167926079667								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0006974~cellular response to DNA damage stimulus	9	1.296829971	0.171651005	1.689378	5.792441122	"FBtr0333453, FBtr0071168, FBtr0334275, FBtr0089340, FBtr0072470, FBtr0333218, FBtr0077189, FBtr0079840, FBtr0088052, FBtr0346192"	566	105	10996	1.665219586	1	1
UP_KEYWORDS	Proteasome	3	0.432276657	0.674924809	-2.341515	0.859225388	"FBtr0333453, FBtr0077189, FBtr0088052"	694	46	13921	1.308200727	1	0.948
KEGG_PATHWAY	dme03050:Proteasome	3	0.432276657	0.84735075	-2.341515	0.859225388	"FBtr0333453, FBtr0077189, FBtr0088052"	179	50	2737	0.917430168	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0333453	Rpn10-RB	0.673737	0.035493	22.8	FlyBase Rpn10-RB	Figure for Rpn10-RB							
FBtr0334275	Hph-RA	0.780661	0.03296	16.4	FlyBase Hph-RA	Figure for Hph-RA							
FBtr0088052	PI31-RC	0.758573	NOTEST	20.7	FlyBase PI31-RC	Figure for PI31-RC							
FBtr0072470	Pdk1-RB	1.236206	0.037102	11.6	FlyBase Pdk1-RB	Figure for Pdk1-RB							
FBtr0071168	Trxr-1-RB	1.093512	0.03296	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0089340	Rel-RC	0.870308	0.049729	3.5	FlyBase Rel-RC	Figure for Rel-RC							
FBtr0077189	Rpt6-RA	0.894569	0.031588	21.6	FlyBase Rpt6-RA	Figure for Rpt6-RA							
FBtr0333218	Pdk1-RJ	1.289345	0.018529	9.8	FlyBase Pdk1-RJ	Figure for Pdk1-RJ							
FBtr0079840	Trx-2-RA	1.767768	0.014377	4.5	FlyBase Trx-2-RA	Figure for Trx-2-RA							
FBtr0346192	heph-RZ	0.912988	0.044367	4.3	FlyBase heph-RZ	Figure for heph-RZ							
													
Cluster-43	total=3	enrichmentScore=0.3337853049346524	phaseStdDev=2.0016333334611733	"KH,K Homology domain,K Homology domain, type 1Annotation Cluster 43"	Enrichment Score: 0.3337853049346524								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00322:KH	3	0.432276657	0.443951058	6.456675333	2.001633333	"FBtr0113205, FBtr0305149, FBtr0346637"	289	27	5218	2.00615148	1	1
INTERPRO	IPR004087:K Homology domain	3	0.432276657	0.446946695	6.456675333	2.001633333	"FBtr0113205, FBtr0305149, FBtr0346637"	611	27	10984	1.997454083	1	1
INTERPRO	"IPR004088:K Homology domain, type 1"	3	0.432276657	0.502404198	6.456675333	2.001633333	"FBtr0113205, FBtr0305149, FBtr0346637"	611	30	10984	1.797708674	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0113205	CG7878-RA	1.577012	0	3.9	FlyBase CG7878-RA	Figure for CG7878-RA							
FBtr0346637	qkr58E-1-RD	0.809484	0.029055	6.6	FlyBase qkr58E-1-RD	Figure for qkr58E-1-RD							
FBtr0305149	Imp-RK	1.630634	0.014377	8.8	FlyBase Imp-RK	Figure for Imp-RK							
													
Cluster-44	total=12	enrichmentScore=0.3322695348066825	phaseStdDev=4.5616520517797206	"anaphase-promoting complex-dependent catabolic process,Ubiquitin mediated proteolysis,Ubl conjugation pathway,ubiquitin protein ligase activity,ubiquitin protein ligase bindingAnnotation Cluster 44"	Enrichment Score: 0.3322695348066825								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0031145~anaphase-promoting complex-dependent catabolic process	3	0.432276657	0.197296697	22.20350467	0.741966854	"FBtr0086951, FBtr0075958, FBtr0333369"	566	16	10996	3.642667845	1	1
KEGG_PATHWAY	dme04120:Ubiquitin mediated proteolysis	8	1.152737752	0.456337858	-0.21567625	3.21148044	"FBtr0086951, FBtr0075958, FBtr0088576, FBtr0089553, FBtr0333617, FBtr0083424, FBtr0333369, FBtr0070127"	179	98	2737	1.24820431	1	1
UP_KEYWORDS	Ubl conjugation pathway	7	1.008645533	0.469322016	-1.404406857	2.654968785	"FBtr0086951, FBtr0075958, FBtr0342928, FBtr0089553, FBtr0075055, FBtr0333617, FBtr0081643"	694	110	13921	1.27648677	1	0.948
GOTERM_MF_DIRECT	GO:0061630~ubiquitin protein ligase activity	5	0.720461095	0.600705024	19.7097884	4.297964856	"FBtr0086951, FBtr0075958, FBtr0333617, FBtr0333369, FBtr0300178"	507	76	9284	1.204712966	1	1
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	3	0.432276657	0.859238678	-1.774207	1.827720136	"FBtr0075958, FBtr0089553, FBtr0333617"	507	62	9284	0.886046956	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0086951	APC10-RA	0.930547	0.040178	23	FlyBase APC10-RA	Figure for APC10-RA							
FBtr0088576	Su(var)2-10-RE	0.834168	0.043544	6	FlyBase Su(var)2-10-RE	Figure for Su(var)2-10-RE							
FBtr0300178	gol-RC	0.538906	0.040404	11.3	FlyBase gol-RC	Figure for gol-RC							
FBtr0083424	Keap1-RC	0.97097	0.048262	3.6	FlyBase Keap1-RC	Figure for Keap1-RC							
FBtr0070127	SkpA-RC	1.108338	0.043022	20.7	FlyBase SkpA-RC	Figure for SkpA-RC							
FBtr0081643	Ufl1-RA	0.863735	0.021439	3.7	FlyBase Ufl1-RA	Figure for Ufl1-RA							
FBtr0075958	vih-RA	0.2849	0.042263	21.2	FlyBase vih-RA	Figure for vih-RA							
FBtr0089553	Ubc10-RA	0.461991	0.048262	0.8	FlyBase Ubc10-RA	Figure for Ubc10-RA							
FBtr0333369	Cdc27-RB	0.612997	0.046447	22.4	FlyBase Cdc27-RB	Figure for Cdc27-RB							
FBtr0075055	Atg3-RA	1.197426	0.027401	21.7	FlyBase Atg3-RA	Figure for Atg3-RA							
FBtr0333617	Diap1-RD	0.552534	0.051356	20.7	FlyBase Diap1-RD	Figure for Diap1-RD							
FBtr0342928	Nedd8-RB	0.968801	0.02037	19.1	FlyBase Nedd8-RB	Figure for Nedd8-RB							
													
Cluster-45	total=7	enrichmentScore=0.3234495423164718	phaseStdDev=4.18410096050974	"Lipid biosynthesis,Fatty acid biosynthesis,Fatty acid metabolism,Lipid metabolismAnnotation Cluster 45"	Enrichment Score: 0.3234495423164718								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Lipid biosynthesis	6	0.864553314	0.268831282	3.454337429	4.184100961	"FBtr0087744, FBtr0302160, FBtr0085571, FBtr0335429, FBtr0079703, FBtr0070423, FBtr0339954"	694	70	13921	1.719349527	1	0.948
UP_KEYWORDS	Fatty acid biosynthesis	3	0.432276657	0.477910623	2.265736667	2.72415128	"FBtr0085571, FBtr0335429, FBtr0339954"	694	32	13921	1.880538545	1	0.948
UP_KEYWORDS	Fatty acid metabolism	3	0.432276657	0.584971556	2.265736667	2.72415128	"FBtr0085571, FBtr0335429, FBtr0339954"	694	39	13921	1.543005985	1	0.948
UP_KEYWORDS	Lipid metabolism	6	0.864553314	0.676457621	3.454337429	4.184100961	"FBtr0087744, FBtr0302160, FBtr0085571, FBtr0335429, FBtr0079703, FBtr0070423, FBtr0339954"	694	114	13921	1.055740937	1	0.948
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0302160	fu12-RC	1.198151	0.050058	10	FlyBase fu12-RC	Figure for fu12-RC							
FBtr0087744	GstE14-RA	1.104069	0.013115	20.7	FlyBase GstE14-RA	Figure for GstE14-RA							
FBtr0070423	FarO-RA	1.613194	0	5	FlyBase FarO-RA	Figure for FarO-RA							
FBtr0079703	fu12-RA	0.771223	0.045606	5.7	FlyBase fu12-RA	Figure for fu12-RA							
FBtr0335429	CG31523-RE	2.632863	0.005379	4.5	FlyBase CG31523-RE	Figure for CG31523-RE							
FBtr0085571	CG9743-RA	2.372364	0	3.8	FlyBase CG9743-RA	Figure for CG9743-RA							
FBtr0339954	CG16935-RB	1.030511	0.014377	22.4	FlyBase CG16935-RB	Figure for CG16935-RB							
													
Cluster-46	total=3	enrichmentScore=0.29801928144362155	phaseStdDev=4.116164027980448	"Pyridoxal phosphate,Pyridoxal phosphate-dependent transferase, major region, subdomain 2,Pyridoxal phosphate-dependent transferase, major region, subdomain 1,pyridoxal phosphate binding,Pyridoxal phosphate-dependent transferaseAnnotation Cluster 46"	Enrichment Score: 0.29801928144362155								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Pyridoxal phosphate	3	0.432276657	0.427130743	4.969384333	4.116164028	"FBtr0086143, FBtr0080738, FBtr0347061"	694	29	13921	2.075077015	1	0.948
INTERPRO	"IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2"	3	0.432276657	0.427699711	4.969384333	4.116164028	"FBtr0086143, FBtr0080738, FBtr0347061"	611	26	10984	2.07427924	1	1
INTERPRO	"IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1"	3	0.432276657	0.554143489	4.969384333	4.116164028	"FBtr0086143, FBtr0080738, FBtr0347061"	611	33	10984	1.634280613	1	1
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	3	0.432276657	0.560155233	4.969384333	4.116164028	"FBtr0086143, FBtr0080738, FBtr0347061"	507	34	9284	1.615732684	1	1
INTERPRO	IPR015424:Pyridoxal phosphate-dependent transferase	3	0.432276657	0.570523019	4.969384333	4.116164028	"FBtr0086143, FBtr0080738, FBtr0347061"	611	34	10984	1.586213536	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0347061	CG11241-RC	1.076201	0.035493	9.3	FlyBase CG11241-RC	Figure for CG11241-RC							
FBtr0086143	Tdc1-RA	1.707462	0.009609	23.5	FlyBase Tdc1-RA	Figure for Tdc1-RA							
FBtr0080738	lace-RA	1.231745	0.029757	6.1	FlyBase lace-RA	Figure for lace-RA							
													
Cluster-47	total=5	enrichmentScore=0.2961765292258343	phaseStdDev=6.187165027293305	"protein tyrosine kinase activity,TyrKc,Tyrosine-protein kinase, catalytic domain,Tyrosine-protein kinase, active site,Serine-threonine/tyrosine-protein kinase catalytic domainAnnotation Cluster 47"	Enrichment Score: 0.2961765292258343								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	GO:0004713~protein tyrosine kinase activity	4	0.576368876	0.358211465	4.2075292	6.187165027	"FBtr0089084, FBtr0340120, FBtr0335276, FBtr0079437, FBtr0071313"	507	39	9284	1.878116624	1	1
SMART	SM00219:TyrKc	3	0.432276657	0.443951058	11.39574167	5.932198759	"FBtr0089084, FBtr0335276, FBtr0079437"	289	27	5218	2.00615148	1	1
INTERPRO	"IPR020635:Tyrosine-protein kinase, catalytic domain"	3	0.432276657	0.446946695	11.39574167	5.932198759	"FBtr0089084, FBtr0335276, FBtr0079437"	611	27	10984	1.997454083	1	1
INTERPRO	"IPR008266:Tyrosine-protein kinase, active site"	3	0.432276657	0.586461864	11.39574167	5.932198759	"FBtr0089084, FBtr0335276, FBtr0079437"	611	35	10984	1.540893149	1	1
INTERPRO	IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain	3	0.432276657	0.792770115	11.39574167	5.932198759	"FBtr0089084, FBtr0335276, FBtr0079437"	611	52	10984	1.03713962	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0335276	Src42A-RB	2.622639	0.005379	4.7	FlyBase Src42A-RB	Figure for Src42A-RB							
FBtr0089084	Eph-RC	-0.361779	0.049729	19.1	FlyBase Eph-RC	Figure for Eph-RC							
FBtr0079437	ninaC-RA	2.628441	0.008018	10.4	FlyBase ninaC-RA	Figure for ninaC-RA							
FBtr0071313	Dsor1-RA	0.838371	0.036061	11.2	FlyBase Dsor1-RA	Figure for Dsor1-RA							
FBtr0340120	Dsor1-RB	0.816847	0.035493	23.6	FlyBase Dsor1-RB	Figure for Dsor1-RB							
													
Cluster-48	total=3	enrichmentScore=0.288078542371576	phaseStdDev=5.108974275750728	"SEC14,CRAL/TRIO, N-terminal domain,CRAL-TRIO domainAnnotation Cluster 48"	Enrichment Score: 0.288078542371576								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00516:SEC14	3	0.432276657	0.481277962	-1.591373	5.108974276	"FBtr0085867, FBtr0342768, FBtr0075975"	289	29	5218	1.867796206	1	1
INTERPRO	"IPR011074:CRAL/TRIO, N-terminal domain"	3	0.432276657	0.484315782	-1.591373	5.108974276	"FBtr0085867, FBtr0342768, FBtr0075975"	611	29	10984	1.859698629	1	1
INTERPRO	IPR001251:CRAL-TRIO domain	3	0.432276657	0.586461864	-1.591373	5.108974276	"FBtr0085867, FBtr0342768, FBtr0075975"	611	35	10984	1.540893149	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0075975	CG10657-RA	0.407083	0.047988	22.3	FlyBase CG10657-RA	Figure for CG10657-RA							
FBtr0085867	CG11550-RA	0.94017	0.038189	4.7	FlyBase CG11550-RA	Figure for CG11550-RA							
FBtr0342768	CG3191-RC	0.989885	0.021439	16.2	FlyBase CG3191-RC	Figure for CG3191-RC							
													
Cluster-49	total=17	enrichmentScore=0.26669793989158835	phaseStdDev=4.082362288698443	"intracellular membrane-bounded organelle,flavonoid glucuronidation,flavonoid biosynthetic process,Glycosyltransferase,UDP-glucuronosyl/UDP-glucosyltransferase,UDP-glycosyltransferase activity,metabolic process,transferase activity, transferring hexosyl groupsAnnotation Cluster 49"	Enrichment Score: 0.26669793989158835								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	6	0.864553314	0.3080961	-0.549934	3.338099905	"FBtr0306022, FBtr0300555, FBtr0082376, FBtr0339571, FBtr0089451, FBtr0082378"	561	66	10026	1.624696159	1	1
GOTERM_BP_DIRECT	GO:0052696~flavonoid glucuronidation	3	0.432276657	0.52754779	-0.630235333	2.927779755	"FBtr0082376, FBtr0339571, FBtr0082378"	566	34	10996	1.714196633	1	1
GOTERM_BP_DIRECT	GO:0009813~flavonoid biosynthetic process	3	0.432276657	0.52754779	-0.630235333	2.927779755	"FBtr0082376, FBtr0339571, FBtr0082378"	566	34	10996	1.714196633	1	1
UP_KEYWORDS	Glycosyltransferase	9	1.296829971	0.581653557	-0.736656667	3.667042029	"FBtr0084038, FBtr0082376, FBtr0339571, FBtr0084890, FBtr0071637, FBtr0079841, FBtr0072965, FBtr0082378, FBtr0084755"	694	165	13921	1.094131517	1	0.948
INTERPRO	IPR002213:UDP-glucuronosyl/UDP-glucosyltransferase	3	0.432276657	0.586461864	-0.630235333	2.927779755	"FBtr0082376, FBtr0339571, FBtr0082378"	611	35	10984	1.540893149	1	1
GOTERM_MF_DIRECT	GO:0008194~UDP-glycosyltransferase activity	3	0.432276657	0.591571507	-0.630235333	2.927779755	"FBtr0082376, FBtr0339571, FBtr0082378"	507	36	9284	1.525969757	1	1
GOTERM_BP_DIRECT	GO:0008152~metabolic process	8	1.152737752	0.62888516	0.279122	4.225351327	"FBtr0082376, FBtr0331759, FBtr0339571, FBtr0075143, FBtr0073151, FBtr0074432, FBtr0082378, FBtr0331632"	566	146	10996	1.064523936	1	1
GOTERM_MF_DIRECT	"GO:0016758~transferase activity, transferring hexosyl groups"	3	0.432276657	0.675653304	-0.630235333	2.927779755	"FBtr0082376, FBtr0339571, FBtr0082378"	507	42	9284	1.307974077	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0089451	anne-RG	1.726239	0.015683	2.9	FlyBase anne-RG	Figure for anne-RG							
FBtr0084038	r-l-RA	0.429276	0.039373	18.1	FlyBase r-l-RA	Figure for r-l-RA							
FBtr0306022	beta-Man-RD	0.696596	NOTEST	18.4	FlyBase beta-Man-RD	Figure for beta-Man-RD							
FBtr0082376	Ugt86De-RA	2.710392	0	22.9	FlyBase Ugt86De-RA	Figure for Ugt86De-RA							
FBtr0071637	Tmtc3-RA	1.98089	0.015683	3.5	FlyBase Tmtc3-RA	Figure for Tmtc3-RA							
FBtr0073151	Scsalpha-RA	0.497077	0.048636	20.5	FlyBase Scsalpha-RA	Figure for Scsalpha-RA							
FBtr0075143	CG7402-RA	1.121751	0.042263	7.5	FlyBase CG7402-RA	Figure for CG7402-RA							
FBtr0084755	beta4GalT7-RA	1.136946	0.03296	18.8	FlyBase beta4GalT7-RA	Figure for beta4GalT7-RA							
FBtr0082378	Ugt86Di-RA	1.194727	0.02813	3.2	FlyBase Ugt86Di-RA	Figure for Ugt86Di-RA							
FBtr0339571	Dot-RB	1.714751	0.022309	20.1	FlyBase Dot-RB	Figure for Dot-RB							
FBtr0084890	Tnks-RA	1.087406	0.036727	21.2	FlyBase Tnks-RA	Figure for Tnks-RA							
FBtr0074432	CG5613-RB	0.992714	0.045606	5.6	FlyBase CG5613-RB	Figure for CG5613-RB							
FBtr0072965	CG16758-RE	1.095731	0.040404	2.1	FlyBase CG16758-RE	Figure for CG16758-RE							
FBtr0331632	CG4592-RB	0.397328	0.043544	20.3	FlyBase CG4592-RB	Figure for CG4592-RB							
FBtr0079841	GlcAT-S-RA	0.72181	0.036727	3.6	FlyBase GlcAT-S-RA	Figure for GlcAT-S-RA							
FBtr0331759	alpha-Man-Ia-RP	0.705316	0.048262	22.1	FlyBase alpha-Man-Ia-RP	Figure for alpha-Man-Ia-RP							
FBtr0300555	PMCA-RJ	0.806711	0.036061	1.3	FlyBase PMCA-RJ	Figure for PMCA-RJ							
													
Cluster-50	total=3	enrichmentScore=0.2589492015602453	phaseStdDev=4.466276679217936	"SAM,Sterile alpha motif domain,Sterile alpha motif/pointed domainAnnotation Cluster 50"	Enrichment Score: 0.2589492015602453								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00454:SAM	3	0.432276657	0.424737735	17.048503	4.466276679	"FBtr0089084, FBtr0084890, FBtr0071847"	289	26	5218	2.083311153	1	1
INTERPRO	IPR001660:Sterile alpha motif domain	3	0.432276657	0.554143489	17.048503	4.466276679	"FBtr0089084, FBtr0084890, FBtr0071847"	611	33	10984	1.634280613	1	1
INTERPRO	IPR013761:Sterile alpha motif/pointed domain	3	0.432276657	0.710246846	17.048503	4.466276679	"FBtr0089084, FBtr0084890, FBtr0071847"	611	44	10984	1.22571046	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0089084	Eph-RC	-0.361779	0.049729	19.1	FlyBase Eph-RC	Figure for Eph-RC							
FBtr0084890	Tnks-RA	1.087406	0.036727	21.2	FlyBase Tnks-RA	Figure for Tnks-RA							
FBtr0071847	Liprin-gamma-RB	1.034719	0.045606	10.8	FlyBase Liprin-gamma-RB	Figure for Liprin-gamma-RB							
													
Cluster-51	total=9	enrichmentScore=0.2568163318703652	phaseStdDev=4.863649527943321	"ABC-2 type transporter,ABC transporter, conserved site,ABC transporter-like,ATPase activity,AAA,AAA+ ATPase domainAnnotation Cluster 51"	Enrichment Score: 0.2568163318703652								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	IPR013525:ABC-2 type transporter	3	0.432276657	0.201198323	-4.386353333	2.121318424	"FBtr0331635, FBtr0072117, FBtr0076106"	611	15	10984	3.595417349	1	1
INTERPRO	"IPR017871:ABC transporter, conserved site"	4	0.576368876	0.488788087	-3.77268925	2.122438389	"FBtr0331635, FBtr0072755, FBtr0072117, FBtr0076106"	611	47	10984	1.529964829	1	1
INTERPRO	IPR003439:ABC transporter-like	4	0.576368876	0.608439873	-3.77268925	2.122438389	"FBtr0331635, FBtr0072755, FBtr0072117, FBtr0076106"	611	56	10984	1.284077625	1	1
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	8	1.152737752	0.716752828	-1.269194375	5.15395041	"FBtr0310323, FBtr0336666, FBtr0089451, FBtr0077189, FBtr0331635, FBtr0072117, FBtr0076106, FBtr0079437"	507	150	9284	0.976620644	1	1
SMART	SM00382:AAA	6	0.864553314	0.817963334	20.29286733	1.856224488	"FBtr0310323, FBtr0077189, FBtr0331635, FBtr0072755, FBtr0072117, FBtr0076106"	289	123	5218	0.88074943	1	1
INTERPRO	IPR003593:AAA+ ATPase domain	6	0.864553314	0.820419777	20.29286733	1.856224488	"FBtr0310323, FBtr0077189, FBtr0331635, FBtr0072755, FBtr0072117, FBtr0076106"	611	123	10984	0.876931061	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0089451	anne-RG	1.726239	0.015683	2.9	FlyBase anne-RG	Figure for anne-RG							
FBtr0079437	ninaC-RA	2.628441	0.008018	10.4	FlyBase ninaC-RA	Figure for ninaC-RA							
FBtr0072755	ABCB7-RB	0.811086	0.039622	22.1	FlyBase ABCB7-RB	Figure for ABCB7-RB							
FBtr0310323	CG13185-RD	1.711097	0.008018	19.3	FlyBase CG13185-RD	Figure for CG13185-RD							
FBtr0077189	Rpt6-RA	0.894569	0.031588	21.6	FlyBase Rpt6-RA	Figure for Rpt6-RA							
FBtr0336666	Trap1-RB	0.644515	0.042263	20.9	FlyBase Trap1-RB	Figure for Trap1-RB							
FBtr0076106	CG32091-RB	1.192504	0.013115	19.8	FlyBase CG32091-RB	Figure for CG32091-RB							
FBtr0072117	bw-RA	1.963185	0	22.1	FlyBase bw-RA	Figure for bw-RA							
FBtr0331635	CG5853-RB	0.200863	0.03836	16.9	FlyBase CG5853-RB	Figure for CG5853-RB							
													
Cluster-52	total=3	enrichmentScore=0.25668320198889405	phaseStdDev=0.2947759754823239	"LIM domain,LIM,Zinc finger, LIM-typeAnnotation Cluster 52"	Enrichment Score: 0.25668320198889405								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	LIM domain	3	0.432276657	0.510198784	-0.744703667	0.294775975	"FBtr0299697, FBtr0302787, FBtr0310088"	694	34	13921	1.76991863	1	0.948
SMART	SM00132:LIM	3	0.432276657	0.567506968	-0.744703667	0.294775975	"FBtr0299697, FBtr0302787, FBtr0310088"	289	34	5218	1.593120293	1	1
INTERPRO	"IPR001781:Zinc finger, LIM-type"	3	0.432276657	0.586461864	-0.744703667	0.294775975	"FBtr0299697, FBtr0302787, FBtr0310088"	611	35	10984	1.540893149	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0299697	Mlp60A-RB	0.974901	0.026614	22.9	FlyBase Mlp60A-RB	Figure for Mlp60A-RB							
FBtr0310088	Zasp52-RN	1.786221	0.029055	23.6	FlyBase Zasp52-RN	Figure for Zasp52-RN							
FBtr0302787	Lmpt-RL	3.056968	0.008018	23.3	FlyBase Lmpt-RL	Figure for Lmpt-RL							
													
Cluster-53	total=12	enrichmentScore=0.24062360488707982	phaseStdDev=4.155368884870582	"mitotic nuclear division,cell division,Mitosis,Cell division,Cell cycleAnnotation Cluster 53"	Enrichment Score: 0.24062360488707982								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	9	1.296829971	0.423073785	1.379900667	3.83255501	"FBtr0086951, FBtr0076782, FBtr0087241, FBtr0082803, FBtr0081993, FBtr0333369, FBtr0070127, FBtr0100537, FBtr0076843"	566	139	10996	1.257899687	1	1
GOTERM_BP_DIRECT	GO:0051301~cell division	5	0.720461095	0.47654652	2.0677068	3.190919441	"FBtr0086951, FBtr0087241, FBtr0082181, FBtr0333369, FBtr0100537"	566	69	10996	1.407794336	1	1
UP_KEYWORDS	Mitosis	4	0.576368876	0.613366816	2.9925765	2.906981043	"FBtr0086951, FBtr0087241, FBtr0082181, FBtr0100537"	694	63	13921	1.273592242	1	0.948
UP_KEYWORDS	Cell division	5	0.720461095	0.652937465	2.0677068	3.190919441	"FBtr0086951, FBtr0087241, FBtr0082181, FBtr0333369, FBtr0100537"	694	89	13921	1.126914484	1	0.948
UP_KEYWORDS	Cell cycle	6	0.864553314	0.775833793	2.167039286	4.211485446	"FBtr0086951, FBtr0087241, FBtr0089125, FBtr0089126, FBtr0082181, FBtr0333369, FBtr0100537"	694	129	13921	0.932980363	1	0.948
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0086951	APC10-RA	0.930547	0.040178	23	FlyBase APC10-RA	Figure for APC10-RA							
FBtr0089126	Hcf-RA	0.856393	0.036727	20.4	FlyBase Hcf-RA	Figure for Hcf-RA							
FBtr0100537	bocks-RB	1.323857	0.008018	7	FlyBase bocks-RB	Figure for bocks-RB							
FBtr0070127	SkpA-RC	1.108338	0.043022	20.7	FlyBase SkpA-RC	Figure for SkpA-RC							
FBtr0082181	Invadolysin-RA	2.393776	0.014377	2	FlyBase Invadolysin-RA	Figure for Invadolysin-RA							
FBtr0089125	Hcf-RB	0.378055	0.050058	8.5	FlyBase Hcf-RB	Figure for Hcf-RB							
FBtr0081993	pum-RB	1.680916	0.02585	23.8	FlyBase pum-RB	Figure for pum-RB							
FBtr0076782	Pdp1-RC	1.172761	0.029757	8.3	FlyBase Pdp1-RC	Figure for Pdp1-RC							
